"id"	"film_name"	"initial_name"	"country"	"release_year"	"type"	"score"	"evaluate_number"	"role"	"introduction"	"image_src"	"alias"	"language"	"time"	"details_src"	"price"	"create_date"	"create_by"	"update_date"	"update_by"	"is_deleted"	"version"
"120"	"完美的世界"	" A Perfect World"	" 美国 "	"1993 "	" 剧情 犯罪"	"9.1"	"306469"	"导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos..."	"坏人的好总是比好人的好来得更感人"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg"	" / 强盗保镳"	"英语"	"138分钟/125分钟(德国电视版)"	"https://movie.douban.com/subject/1300992/"	"34.34"					"0"	
"121"	"借东西的小人阿莉埃蒂"	" 借りぐらしのアリエッティ"	" 日本 "	"2010 "	" 动画 奇幻 冒险"	"8.9"	"538519"	"导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木..."	"曾经的那段美好会沉淀为一辈子的记忆"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg"	" / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港)"	"日语"	"94分钟"	"https://movie.douban.com/subject/4202302/"	"34.34"					"0"	
"122"	"消失的爱人"	" Gone Girl"	" 美国 "	"2014 "	" 剧情 犯罪 悬疑 惊悚"	"8.7"	"910927"	"导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙..."	"年度最佳date movie"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg"	" / 失踪的女孩  /  失踪女孩"	"英语"	"149分钟"	"https://movie.douban.com/subject/21318488/"	"34.34"					"0"	
"123"	"无人知晓"	" 誰も知らない"	" 日本 "	"2004 "	" 剧情"	"9.1"	"309710"	"导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱..."	"我的平常生活就是他人的幸福"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg"	" / 谁知赤子心(港)  /  无人知晓的夏日清晨(台)"	"日语"	"141分钟"	"https://movie.douban.com/subject/1292337/"	"34.34"					"0"	
"124"	"倩女幽魂"	" 倩女幽魂(87版)  "	" 中国香港 "	"1987 "	" 爱情 奇幻 武侠 古装"	"8.8"	"714182"	"导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW..."	"两张绝世的脸 "	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg"	" / 倩女幽魂(87版)  /  倩女幽魂：妖魔道"	"粤语"	"98分钟(香港)/96分钟"	"https://movie.douban.com/subject/1297447/"	"34.34"					"0"	
"125"	"小森林 冬春篇"	" リトル・フォレスト 冬・春"	" 日本 "	"2015 "	" 剧情"	"9.0"	"371499"	"导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir..."	"尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg"	" / 小森食光 / 冬春篇(台) "	"日语"	"120分钟"	"https://movie.douban.com/subject/25814707/"	"34.34"					"0"	
"126"	"侧耳倾听"	" 耳をすませば"	" 日本 "	"1995 "	" 剧情 爱情 动画"	"8.9"	"450018"	"导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K..."	"少女情怀总是诗"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg"	" / 心之谷(台)  /  梦幻街少女(港)"	"日语/英语"	"111分钟"	"https://movie.douban.com/subject/1297052/"	"34.34"					"0"	
"127"	"寄生虫"	" 기생충"	" 韩国 "	"2019 "	" 剧情"	"8.8"	"1337092"	"导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/李善均Seon-gyun..."	" "	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg"	" / 寄生上流(台)  /  上流寄生族(港)"	"韩语/英语"	"132分钟"	"https://movie.douban.com/subject/27010768/"	"34.34"					"0"	
"128"	"时空恋旅人"	" About Time"	" 英国 "	"2013 "	" 喜剧 爱情 奇幻"	"8.8"	"645117"	"导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格里森DomhnallGl..."	"把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg"	" / 回到最爱的一天(港)  /  真爱每一天(台)"	"英语"	"123分钟"	"https://movie.douban.com/subject/10577869/"	"34.34"					"0"	
"129"	"幸福终点站"	" The Terminal"	" 美国 "	"2004 "	" 喜剧 剧情 爱情"	"8.8"	"555199"	"导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks..."	"有时候幸福需要等一等 "	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg"	" / 机场客运站(港)  /  航站情缘(台)"	"英语/保加利亚语/西班牙语/俄语/汉语普通话/德语/法语"	"128分钟"	"https://movie.douban.com/subject/1292274/"	"34.34"					"0"	
"130"	"驯龙高手"	" How to Train Your Dragon"	" 美国 "	"2010 "	" 动画 奇幻 冒险"	"8.8"	"738886"	"导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:..."	"和谐的生活离不开摸头与被摸头"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p490385643.jpg"	" / 驯龙记(港)"	"英语"	"98分钟"	"https://movie.douban.com/subject/2353023/"	"34.34"					"0"	
"131"	"教父3"	" The Godfather: Part III"	" 美国 "	"1990 "	" 剧情 犯罪"	"9.0"	"363345"	"导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A..."	"任何信念的力量，都无法改变命运"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg"	" / 教父第三集  /  教父 III"	"英语/意大利语/德语/拉丁语"	"162分钟/170分钟/157分钟(导演剪辑版)"	"https://movie.douban.com/subject/1294240/"	"34.34"					"0"	
